MapperType, TotalAreaAllImages, SpriteWidth, SpriteHeight, SpriteArea, CandidateSpriteFails, CandidateSpritesGenerated, CanvasRectangleAddAttempts, CanvasNbrCellsGenerated, Efficiency, ElapsedTicks, Nbr_Images, Width_Standard_Deviation, Heigth_Standard_Deviation, Area_Standard_Deviation, Aspect_Ratio_Standard_Deviation
MapperVerticalOnly`1[Sprite], 22914, 45, 629, 28305, 0, 0, 0, 0, 0.809539, 14, 20, 12.8509676064121, 19.8957149578549, 883.332988414365, 0.71097733776912
MapperOptimalEfficiency`1[Sprite], 22914, 250, 101, 25250, 105, 4, 1395, 15080, 0.9074851, 19559, 20, 12.8509676064121, 19.8957149578549, 883.332988414365, 0.71097733776912
MapperHorizontalOnly`1[Sprite], 1700, 30, 60, 1800, 0, 0, 0, 0, 0.9444444, 6, 2, 7.07106781186548, 7.07106781186548, 494.974746830583, 0.0942809041582063
MapperVerticalOnly`1[Sprite], 1700, 20, 110, 2200, 0, 0, 0, 0, 0.7727273, 5, 2, 7.07106781186548, 7.07106781186548, 494.974746830583, 0.0942809041582063
MapperOptimalEfficiency`1[Sprite], 1700, 30, 60, 1800, 0, 1, 2, 5, 0.9444444, 31, 2, 7.07106781186548, 7.07106781186548, 494.974746830583, 0.0942809041582063
MapperHorizontalOnly`1[Sprite], 1950, 55, 60, 3300, 0, 0, 0, 0, 0.5909091, 5, 3, 7.63762615825973, 26.4575131106459, 492.442890089805, 1.29113788459523
MapperVerticalOnly`1[Sprite], 1950, 25, 120, 3000, 0, 0, 0, 0, 0.65, 5, 3, 7.63762615825973, 26.4575131106459, 492.442890089805, 1.29113788459523
MapperOptimalEfficiency`1[Sprite], 1950, 30, 70, 2100, 0, 2, 6, 18, 0.9285714, 45, 3, 7.63762615825973, 26.4575131106459, 492.442890089805, 1.29113788459523
MapperHorizontalOnly`1[Sprite], 4540, 90, 80, 7200, 0, 0, 0, 0, 0.6305556, 8, 5, 8.36660026534076, 25.115732121521, 470.446596331613, 0.500995279189816
MapperVerticalOnly`1[Sprite], 4540, 30, 277, 8310, 0, 0, 0, 0, 0.5463297, 7, 5, 8.36660026534076, 25.115732121521, 470.446596331613, 0.500995279189816
MapperOptimalEfficiency`1[Sprite], 4540, 40, 130, 5200, 4, 3, 32, 109, 0.8730769, 208, 5, 8.36660026534076, 25.115732121521, 470.446596331613, 0.500995279189816
MapperHorizontalOnly`1[Sprite], 4400, 100, 60, 6000, 0, 0, 0, 0, 0.7333333, 7, 5, 10, 11.5108644332213, 325.192250830182, 0.353089473517039
MapperVerticalOnly`1[Sprite], 4400, 30, 240, 7200, 0, 0, 0, 0, 0.6111111, 7, 5, 10, 11.5108644332213, 325.192250830182, 0.353089473517039
MapperOptimalEfficiency`1[Sprite], 4400, 40, 125, 5000, 7, 3, 48, 163, 0.88, 248, 5, 10, 11.5108644332213, 325.192250830182, 0.353089473517039
MapperHorizontalOnly`1[Sprite], 3590, 100, 60, 6000, 0, 0, 0, 0, 0.5983334, 6, 5, 10, 22.8319950946035, 478.403595304216, 4.31868450024683
MapperVerticalOnly`1[Sprite], 3590, 30, 213, 6390, 0, 0, 0, 0, 0.5618153, 7, 5, 10, 22.8319950946035, 478.403595304216, 4.31868450024683
MapperOptimalEfficiency`1[Sprite], 3590, 40, 103, 4120, 5, 2, 31, 100, 0.8713592, 159, 5, 10, 22.8319950946035, 478.403595304216, 4.31868450024683
MapperHorizontalOnly`1[Sprite], 6800, 180, 60, 10800, 0, 0, 0, 0, 0.6296296, 5, 3, 20, 20, 1154.70053837925, 1.73205080756888
MapperVerticalOnly`1[Sprite], 6800, 80, 120, 9600, 0, 0, 0, 0, 0.7083333, 5, 3, 20, 20, 1154.70053837925, 1.73205080756888
MapperOptimalEfficiency`1[Sprite], 6800, 100, 80, 8000, 1, 2, 9, 23, 0.85, 63, 3, 20, 20, 1154.70053837925, 1.73205080756888
MapperHorizontalOnly`1[Sprite], 6400, 200, 60, 12000, 0, 0, 0, 0, 0.5333334, 6, 4, 25.8198889747161, 22.1735578260835, 1423.61043360417, 3.5
MapperVerticalOnly`1[Sprite], 6400, 80, 130, 10400, 0, 0, 0, 0, 0.6153846, 6, 4, 25.8198889747161, 22.1735578260835, 1423.61043360417, 3.5
MapperOptimalEfficiency`1[Sprite], 6400, 100, 70, 7000, 0, 2, 8, 25, 0.9142857, 54, 4, 25.8198889747161, 22.1735578260835, 1423.61043360417, 3.5
MapperHorizontalOnly`1[Sprite], 6576, 204, 60, 12240, 0, 0, 0, 0, 0.5372549, 6, 4, 24.3036348447442, 21.5019378971602, 1376.08526867584, 3.5
MapperVerticalOnly`1[Sprite], 6576, 80, 134, 10720, 0, 0, 0, 0, 0.6134328, 6, 4, 24.3036348447442, 21.5019378971602, 1376.08526867584, 3.5
MapperOptimalEfficiency`1[Sprite], 6576, 100, 74, 7400, 2, 2, 16, 64, 0.8886486, 86, 4, 24.3036348447442, 21.5019378971602, 1376.08526867584, 3.5
MapperHorizontalOnly`1[Sprite], 6480, 200, 60, 12000, 0, 0, 0, 0, 0.54, 5, 4, 25.8198889747161, 24.0762677063258, 1449.41367455948, 2.22262255464309
MapperVerticalOnly`1[Sprite], 6480, 80, 122, 9760, 0, 0, 0, 0, 0.6639344, 5, 4, 25.8198889747161, 24.0762677063258, 1449.41367455948, 2.22262255464309
MapperOptimalEfficiency`1[Sprite], 6480, 100, 74, 7400, 0, 2, 8, 34, 0.8756757, 55, 4, 25.8198889747161, 24.0762677063258, 1449.41367455948, 2.22262255464309
MapperHorizontalOnly`1[Sprite], 7560, 348, 62, 21576, 0, 0, 0, 0, 0.3503893, 10, 9, 20.8326666559997, 17.8450117524322, 1113.35349283145, 4.11170481930418
MapperVerticalOnly`1[Sprite], 7560, 80, 178, 14240, 0, 0, 0, 0, 0.5308989, 9, 9, 20.8326666559997, 17.8450117524322, 1113.35349283145, 4.11170481930418
MapperOptimalEfficiency`1[Sprite], 7560, 130, 76, 9880, 15, 2, 118, 655, 0.7651822, 731, 9, 20.8326666559997, 17.8450117524322, 1113.35349283145, 4.11170481930418
MapperHorizontalOnly`1[Sprite], 30464, 694, 122, 84668, 0, 0, 0, 0, 0.3598053, 10, 9, 38.7183562552843, 35.0253876178091, 4371.00527466064, 3.86147156326713
MapperVerticalOnly`1[Sprite], 30464, 150, 356, 53400, 0, 0, 0, 0, 0.5704869, 8, 9, 38.7183562552843, 35.0253876178091, 4371.00527466064, 3.86147156326713
MapperOptimalEfficiency`1[Sprite], 30464, 280, 122, 34160, 11, 1, 74, 329, 0.8918033, 422, 9, 38.7183562552843, 35.0253876178091, 4371.00527466064, 3.86147156326713
